Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U2L2,U0L1,U0L2,U0L4,U1L3,U1L1,U2L1,U2L3,U3L1,U3L2
0.29220000000000007,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29239999999999994,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2926000000000001,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29280000000000006,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2930000000000001,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29320000000000007,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29340000000000005,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2936,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2938,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29400000000000004,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2942,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2944,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.29460000000000003,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
0.2948,0.3,0.0,0.0,824.6,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,827.0,643.1,1204.7,842.3,0.0,51.3,387.1,361.3
